,Projected Points,Pre-Season Ranking,Wk1,Wk1_Total,Wk2,Wk2_Total,Wk3,Wk3_Total,Wk4,Wk4_Total,Wk5,Wk5_Total,Wk6,Wk6_Total,Wk7,Wk7_Total,Wk8,Wk8_Total,Wk9,Wk9_Total,Wk10,Wk10_Total,Wk11,Wk11_Total,Wk12,Wk12_Total,Wk13,Wk13_Total,Wk14,Wk14_Total,Wk15,Wk15_Total,Wk16,Wk16_Total
Josh Allen,,1,33.48,33.48,29.68,63.16,26.7,89.86,24.52,114.38,36.16,150.54,26.36,176.9,,176.9,19.62,196.52,26.8,223.32,21.6,244.92,12.58,257.5,30.92,288.42,16.92,305.34,20.58,325.92,35.86,361.78,24.98,386.76
Lamar Jackson,,2,21.22,21.22,42.62,63.84,40.42,104.26,15.06,119.32,15.76,135.08,17.1,152.18,10.7,162.88,21.82,184.7,17.52,202.22,,202.22,16.46,218.68,23.06,241.74,1.34,243.08,0,243.08,0,243.08,0,243.08
Justin Herbert,,3,23.26,23.26,24.46,47.72,13.58,61.3,21.1,82.4,14.42,96.82,9.42,106.24,18.62,124.86,,124.86,13.1,137.96,13.04,151,20.2,171.2,28.76,199.96,18.1,218.06,19.48,237.54,10.72,248.26,6.5,254.76
Patrick Mahomes II,,4,34.9,34.9,17.3,52.2,18.08,70.28,24.36,94.64,30.48,125.12,21.62,146.74,27.92,174.66,,174.66,35.14,209.8,32.14,241.94,27.46,269.4,19.4,288.8,19.82,308.62,22.78,331.4,32.74,364.14,23.76,387.9
Kyler Murray,,5,20.62,20.62,26.88,47.5,13.36,60.86,23.88,84.74,17.2,101.94,15.88,117.82,17.16,134.98,26.64,161.62,19,180.62,0,180.62,0,180.62,26.24,206.86,,206.86,0.66,207.52,0,207.52,0,207.52
Joe Burrow,,6,22.22,22.22,16.56,38.78,23,61.78,20.08,81.86,18.28,100.14,32.5,132.64,39.24,171.88,14.48,186.36,19.14,205.5,,205.5,28.7,234.2,18,252.2,30.04,282.24,17.56,299.8,25.8,325.6,25.5,351.1
Jalen Hurts,,7,24.72,24.72,34.02,58.74,27.6,86.34,16.96,103.3,27.66,130.96,16.9,147.86,,147.86,28.4,176.26,20.02,196.28,22.8,219.08,24.2,243.28,29.82,273.1,34.4,307.5,30.38,337.88,36.7,374.58,0,374.58
Tom Brady,,8,11.38,11.38,9.4,20.78,14.74,35.52,25.4,60.92,19.74,80.66,13.72,94.38,11.7,106.08,17.1,123.18,15.2,138.38,17.02,155.4,,155.4,18.04,173.44,18.14,191.58,12.12,203.7,18.58,222.28,13.34,235.62
Trey Lance,,9,10.96,10.96,2.5,13.46,0,13.46,0,13.46,0,13.46,0,13.46,0,13.46,0,13.46,,13.46,0,13.46,0,13.46,0,13.46,0,13.46,0,13.46,0,13.46,0,13.46
Russell Wilson,,10,17.8,17.8,12.06,29.86,9.06,38.92,26.98,65.9,11.16,77.06,13.82,90.88,0,90.88,14.78,105.66,,105.66,15.24,120.9,10.68,131.58,8.48,140.06,9.66,149.72,26.58,176.3,0,176.3,11.26,187.56
Dak Prescott,,11,5.46,5.46,0,5.46,0,5.46,0,5.46,0,5.46,0,5.46,12.28,17.74,26.4,44.14,,44.14,21.2,65.34,20.64,85.98,16.84,102.82,17.8,120.62,15.66,136.28,22.24,158.52,28.98,187.5
