NAME,RTG,TEAM,DEP,BYE,GP,FPTS,SNAP,TOUCH,#,%,ATT,COMP,YDS,TD,INT,300+,RUSH,RUSHYDS,RUSHTD,WEEK
Patrick Mahomes,97,KC,1,8,1,34.9,1.9,0.1,65,92.9,39,30,360,5,0,1,3,5,0,1
Josh Allen,95,BUF,1,7,1,33.5,1.8,0.3,59,100,31,26,297,3,2,0,10,56,1,1
Jalen Hurts,86,PHI,1,7,1,24.7,3.1,0.7,77,100,32,18,243,0,0,0,17,90,1,1
Justin Herbert,87,LAC,1,8,1,23.3,2.9,0.2,67,100,34,26,279,3,0,0,4,1,0,1
Joe Burrow,94,CIN,1,10,1,22.2,4.5,0.3,100,100,53,33,338,2,4,1,6,47,0,1
Lamar Jackson,90,BAL,1,10,1,21.2,2.6,0.3,56,100,30,17,213,3,1,0,6,17,0,1
Kyler Murray,82,ARI,1,13,1,20.6,2.8,0.2,57,87.7,34,22,193,2,0,0,5,29,0,1
Russell Wilson,75,DEN,1,9,1,17.8,3.7,0.1,66,100,42,29,230,1,0,1,1,2,0,1
Tom Brady,90,TB,1,11,1,11.4,5.4,0.2,62,100,27,18,212,1,1,0,2,-1,0,1
Trey Lance,71,SF,1,9,1,11,6.2,1.2,68,100,28,13,164,0,1,0,13,54,0,1
Dak Prescott,91,DAL,1,9,1,5.5,9.6,0.4,53,76.8,29,14,134,0,1,0,2,11,0,1
Lamar Jackson,90,BAL,1,10,1,42.6,1.4,0.2,59,100,29,21,318,3,0,1,9,119,1,2
Jalen Hurts,86,PHI,1,7,1,34,2.1,0.3,73,100,31,26,333,1,1,1,11,57,2,2
Josh Allen,95,BUF,1,7,1,29.7,1.8,0,52,76.5,38,26,317,4,0,1,1,10,0,2
Kyler Murray,82,ARI,1,13,1,26.9,3.2,0.2,87,100,49,31,277,1,1,0,5,28,1,2
Justin Herbert,87,LAC,1,8,1,24.5,3,0.1,74,98.7,48,33,334,3,1,1,2,1,0,2
Patrick Mahomes,97,KC,1,8,1,17.3,3.3,0.1,57,100,35,24,235,2,0,0,2,-1,0,2
Joe Burrow,94,CIN,1,10,1,16.6,4.2,0.2,70,100,36,24,199,1,0,0,4,26,0,2
Russell Wilson,75,DEN,1,9,1,12.1,6,0.2,72,100,31,14,219,1,1,0,2,3,0,2
Tom Brady,90,TB,1,11,1,9.4,7.1,0.3,67,100,34,18,190,1,0,0,3,-2,0,2
Trey Lance,71,SF,,9,1,2.5,6.4,1.2,16,21.1,3,2,30,0,0,0,3,13,0,2
Lamar Jackson,90,BAL,1,10,1,40.4,1.5,0.3,60,100,29,18,218,4,1,0,11,107,1,3
Jalen Hurts,86,PHI,1,7,1,27.6,2.5,0.3,70,100,35,22,340,3,0,1,9,20,0,3
Josh Allen,95,BUF,1,7,1,26.7,3.4,0.3,92,100,63,42,400,2,0,1,8,47,0,3
Joe Burrow,94,CIN,1,10,1,23,3,0.2,68,100,36,23,275,3,0,0,5,0,0,3
Patrick Mahomes,97,KC,1,8,1,18.1,3.5,0.2,63,100,35,20,262,1,1,0,4,26,0,3
Tom Brady,90,TB,1,11,1,14.7,4.4,0.1,65,100,42,31,271,1,0,0,1,-1,0,3
Justin Herbert,87,LAC,1,8,1,13.6,4.5,0.1,61,100,45,25,297,1,1,0,1,7,0,3
Kyler Murray,82,ARI,1,13,1,13.4,6.2,0.1,83,100,58,37,314,0,0,1,2,8,0,3
Russell Wilson,75,DEN,1,9,1,9.1,8.1,0.7,74,100,33,20,184,0,0,0,6,17,0,3
Russell Wilson,75,DEN,1,9,1,27,2,0.2,53,100,25,17,237,2,0,0,4,29,1,4
Tom Brady,90,TB,1,11,1,25.4,2.5,0,64,100,52,39,385,3,0,1,0,0,0,4
Josh Allen,95,BUF,1,7,1,24.5,2.6,0.4,64,100,36,19,213,1,1,0,11,70,1,4
Patrick Mahomes,97,KC,1,8,1,24.4,3.3,0.2,80,100,37,23,249,3,1,0,4,34,0,4
Kyler Murray,82,ARI,1,13,1,23.9,3.2,0.5,76,100,32,23,207,2,1,0,12,26,1,4
Justin Herbert,87,LAC,1,8,1,21.1,3.3,0.2,70,100,39,27,340,2,0,1,4,-5,0,4
Joe Burrow,94,CIN,1,10,1,20.1,3.2,0.2,64,100,31,20,287,2,0,0,5,6,0,4
Jalen Hurts,86,PHI,1,7,1,17,4.8,0.9,82,100,25,16,204,0,1,0,16,38,1,4
Lamar Jackson,90,BAL,1,10,1,15.1,4.6,0.7,70,100,29,20,144,1,2,0,11,73,0,4
Josh Allen,95,BUF,1,7,1,36.2,1.3,0.1,48,85.7,31,20,424,4,1,1,5,42,0,5
Patrick Mahomes,97,KC,1,8,1,30.5,2.4,0.1,72,100,43,29,292,4,0,0,4,28,0,5
Jalen Hurts,86,PHI,1,7,1,27.7,2.6,0.5,73,100,36,26,239,0,0,0,15,61,2,5
Tom Brady,90,TB,1,11,1,19.7,4,0.2,79,100,52,35,351,0,0,1,3,-3,0,5
Joe Burrow,94,CIN,1,10,1,18.3,3.4,0.2,63,100,35,24,217,1,1,0,3,6,1,5
Kyler Murray,82,ARI,1,13,1,17.2,4,0.2,69,100,42,28,250,1,1,0,4,42,0,5
Lamar Jackson,90,BAL,1,10,1,15.8,4.1,0.8,65,100,32,19,174,1,1,0,12,58,0,5
Justin Herbert,87,LAC,1,8,1,14.4,4.9,0.3,71,100,34,22,228,1,0,0,5,13,0,5
Russell Wilson,75,DEN,1,9,1,11.2,6.5,0.4,73,100,39,21,274,0,2,0,4,22,0,5
Joe Burrow,94,CIN,1,10,1,32.5,1.8,0.1,57,100,37,28,300,3,0,1,4,25,1,6
Josh Allen,95,BUF,1,7,1,26.4,2.8,0.5,73,100,40,27,329,3,0,1,12,32,0,6
Patrick Mahomes,97,KC,1,8,1,21.6,3.1,0.2,67,100,40,25,338,2,2,1,4,21,0,6
Lamar Jackson,90,BAL,1,10,1,17.1,3.5,0.4,59,100,32,17,210,1,1,0,7,77,0,6
