,Projected Points,Pre-Season Ranking,Wk1,Wk1_Total,Wk1_Rank,Wk2,Wk2_Total,Wk2_Rank,Wk3,Wk3_Total,Wk3_Rank,Wk4,Wk4_Total,Wk4_Rank,Wk5,Wk5_Total,Wk5_Rank,Wk6,Wk6_Total,Wk6_Rank,Wk7,Wk7_Total,Wk7_Rank,Wk8,Wk8_Total,Wk8_Rank,Wk9,Wk9_Total,Wk9_Rank,Wk10,Wk10_Total,Wk10_Rank,Wk11,Wk11_Total,Wk11_Rank,Wk12,Wk12_Total,Wk12_Rank,Wk13,Wk13_Total,Wk13_Rank,Wk14,Pts Post Wk 14,Rank Post Wk 14,Wk15,,,Wk16
Jonathan Taylor,,1,25.5,25.5,,6.8,,,10.6,,,2.8,,,0,,,0,,,12,,,5.6,,,0,,,23.3,,,14.9,,,17.3,,,11.8,,,,,,1.8,,,0
Christian McCaffrey,,2,13.7,13.7,,14.8,,,12.5,,,21.3,,,19.9,,,19.3,,,7.2,,,36.26,,,,,,15.7,,,14.1,,,6.9,,,24.6,,,28.3,,,22.8,,,12.8
Austin Ekeler,,3,9.2,9.2,,13.9,,,9.3,,,31.9,,,33.9,,,19.3,,,30.7,,,,,,20.6,,,9.8,,,17,,,19.5,,,10.7,,,20.4,,,14,,,21.9
Dalvin Cook,,4,12.3,12.3,,5.6,,,13.6,,,9.6,,,25.1,,,14.8,,,,,,22.6,,,12.6,,,22.1,,,7.2,,,7.6,,,15.3,,,8.1,,,25,,,9.2
Derrick Henry,,5,8.2,8.2,,8.5,,,22.8,,,22.2,,,26.2,,,,,,15.3,,,35.3,,,23.5,,,7.7,,,24.36,,,13.2,,,4.8,,,19,,,24.3,,,17.6
Joe Mixon,,6,18,18,,9.8,,,5.3,,,15.4,,,10.3,,,14.8,,,16.6,,,9.4,,,53.1,,,,,,7.7,,,0,,,0,,,11.6,,,7.9,,,14.3
Aaron Jones,,7,9.1,9.1,,30.5,,,4.2,,,13,,,9,,,5.9,,,24.1,,,17.7,,,5.5,,,22.6,,,11,,,17.4,,,7.5,,,,,,18.6,,,4.4
Saquon Barkley,,8,30.4,30.4,,10.3,,,20.6,,,17.2,,,18.1,,,17,,,15.5,,,13.7,,,,,,22.5,,,4.5,,,13.2,,,16.6,,,5.8,,,20.5,,,23.3
Najee Harris,,9,9.6,9.6,,11.4,,,11.6,,,7.4,,,5.1,,,11.9,,,9.5,,,8.96,,,,,,9.9,,,25.6,,,10.4,,,9.7,,,12,,,14.6,,,12.5
D'Andre Swift,,10,25,25,,15.7,,,6.1,,,0,,,0,,,,,,0,,,11.8,,,6.5,,,7.7,,,10.7,,,8.3,,,19.1,,,5.4,,,10,,,3
